iter	MultiClass
0	1.90137201
1	1.856953418
2	1.807088554
3	1.761024421
4	1.714383764
5	1.681570365
6	1.618410582
7	1.560522511
8	1.513569697
9	1.466020141
10	1.425177432
11	1.393781499
12	1.363890013
13	1.325160153
14	1.284492858
15	1.25824772
16	1.236251694
17	1.20167131
18	1.171434147
19	1.142351262
20	1.114702066
21	1.093221316
22	1.072768504
23	1.054721301
24	1.028152646
25	1.008071955
26	0.9868663042
27	0.965909193
28	0.9470085759
29	0.9239747032
30	0.9096352474
31	0.8925827563
32	0.8746549821
33	0.8563233095
34	0.837842553
35	0.8245455073
36	0.8074177953
37	0.7891931508
38	0.7748828795
39	0.758818111
40	0.7460318768
41	0.7333429183
42	0.720677127
43	0.7100259538
44	0.6999435316
45	0.6916989537
46	0.6806372854
47	0.6704878598
48	0.661737984
49	0.6536687044
50	0.6435524793
51	0.631347937
52	0.6216574387
53	0.6123867743
54	0.6036116873
55	0.5965007057
56	0.5861864072
57	0.5754471107
58	0.5675170925
59	0.5601789902
60	0.552125559
61	0.5435659769
62	0.5367297817
63	0.5299363588
64	0.5228376263
65	0.513913543
66	0.5061598087
67	0.5002151208
68	0.4941049731
69	0.487102549
70	0.4799792596
71	0.4744882404
72	0.468754892
73	0.4615279107
74	0.4563541629
75	0.4513296246
76	0.4456717809
77	0.4395114454
78	0.4346114211
79	0.4291655355
80	0.4233150145
81	0.4205722754
82	0.4152391807
83	0.4099623005
84	0.4043491381
85	0.3989175854
86	0.393729152
87	0.3887750399
88	0.3839472157
89	0.3795170263
90	0.3752813735
91	0.3709307964
92	0.3664338738
93	0.3617165402
94	0.3577429706
95	0.3538002798
96	0.3503141959
97	0.3466894611
98	0.3429598483
99	0.3396829754
100	0.3363877611
101	0.3334667318
102	0.3297736863
103	0.3263789123
104	0.3225213377
105	0.3190990344
106	0.3155872973
107	0.3125076232
108	0.3093382889
109	0.3066444473
110	0.3033162439
111	0.3000068019
112	0.2964390859
113	0.2933544356
114	0.2902904229
115	0.2870690585
116	0.2827623179
117	0.2803286967
118	0.2776895926
119	0.2749887772
120	0.2727458117
121	0.2694076905
122	0.2669162269
123	0.2640570628
124	0.2615819596
125	0.2589454196
126	0.2565062227
127	0.2538360023
128	0.2508765988
129	0.2486784609
130	0.2465715866
131	0.2445340486
132	0.2416034877
133	0.2392762912
134	0.2370550959
135	0.2348675795
136	0.2327756573
137	0.2307211834
138	0.2281941961
139	0.2257798999
140	0.2237532676
141	0.2220127053
142	0.2199874303
143	0.2184655831
144	0.2162173463
145	0.214548654
146	0.2123640044
147	0.2104273962
148	0.2087296767
149	0.2068949491
150	0.2048362725
151	0.2027547402
152	0.2010025327
153	0.1994802483
154	0.1978188933
155	0.1961262564
156	0.1944169132
157	0.1930355554
158	0.1915707208
159	0.1900423663
160	0.1884696195
161	0.1866289298
162	0.1852203365
163	0.1834719844
164	0.1817812883
165	0.1803073811
166	0.178794212
167	0.1775117344
168	0.1762596525
169	0.1748983588
170	0.1736063971
171	0.1723458097
172	0.1712061291
173	0.1700932241
174	0.1688529029
175	0.1672879269
176	0.166010548
177	0.1644428583
178	0.1632052195
179	0.1619607806
180	0.160839058
181	0.1596473425
182	0.1584778222
183	0.1572943909
184	0.1559925956
185	0.1547112675
186	0.1534754954
187	0.1523720207
188	0.1513114012
189	0.1503502986
190	0.149138327
191	0.1479241616
192	0.1468867482
193	0.1460155731
194	0.1448569203
195	0.1439307363
196	0.1429084843
197	0.1418579052
198	0.1408685424
199	0.1399423534
200	0.1391081208
201	0.1383119343
202	0.1374432267
203	0.136636319
204	0.1358355737
205	0.134896581
206	0.1341661239
207	0.1332672066
208	0.1324608182
209	0.1317032726
210	0.1308392729
211	0.1300788546
212	0.1293935684
213	0.1285938159
214	0.1277684952
215	0.1270575964
216	0.1262123081
217	0.1254708637
218	0.1245229929
219	0.1237147298
220	0.1230259701
221	0.1223027567
222	0.1216283255
223	0.1208889426
224	0.1202168099
225	0.119609635
226	0.1188908239
227	0.1182154117
228	0.117678097
229	0.1170862799
230	0.1163945226
231	0.115782918
232	0.115208378
233	0.1145943563
234	0.1139663293
235	0.1133739237
236	0.1128305007
237	0.1122678418
238	0.1117676956
239	0.1110172637
240	0.1104683234
241	0.1096519998
242	0.1089453285
243	0.1082302716
244	0.1076871792
245	0.1070045645
246	0.1062787299
247	0.1056165596
248	0.1051465889
249	0.1046723177
250	0.1041774503
251	0.1036756995
252	0.1030796261
253	0.1025261365
254	0.1019016041
255	0.1014428823
256	0.1009634786
257	0.1004023613
258	0.09996671471
259	0.09944641038
260	0.09899827681
261	0.09854639239
262	0.09805642082
263	0.09756515263
264	0.0971468955
265	0.09664877232
266	0.09617502654
267	0.09576782021
268	0.09536895759
269	0.09488488276
270	0.09442060398
