iter	Passed	Remaining
0	8	5096
1	16	5069
2	25	5063
3	30	4541
4	38	4589
5	44	4452
6	52	4455
7	59	4407
8	65	4322
9	67	3995
10	73	3922
11	78	3870
12	80	3655
13	82	3436
14	87	3403
15	91	3345
16	96	3304
17	100	3251
18	104	3194
19	108	3145
20	110	3039
21	113	2981
22	117	2936
23	120	2902
24	124	2854
25	127	2810
26	129	2742
27	132	2703
28	135	2667
29	138	2632
30	141	2605
31	143	2539
32	146	2510
33	147	2450
34	150	2428
35	152	2385
36	155	2362
37	158	2343
38	161	2325
39	164	2307
40	167	2289
41	171	2273
42	174	2256
43	177	2239
44	180	2223
45	183	2208
46	186	2194
47	189	2181
48	190	2139
49	193	2126
50	195	2100
51	196	2073
52	199	2061
53	201	2037
54	202	2006
55	203	1973
56	206	1966
57	209	1959
58	212	1951
59	213	1921
60	216	1914
61	219	1906
62	222	1898
63	225	1891
64	226	1867
65	230	1861
66	233	1855
67	233	1829
68	237	1824
69	239	1816
70	240	1794
71	244	1790
72	247	1785
73	250	1781
74	253	1775
75	256	1770
76	259	1765
77	262	1759
78	264	1744
79	267	1740
80	270	1735
81	271	1714
82	274	1710
83	277	1704
84	280	1700
85	283	1695
86	286	1690
87	289	1686
88	292	1681
89	294	1669
90	297	1665
91	300	1661
92	304	1657
93	307	1653
94	310	1649
95	313	1645
96	316	1641
97	319	1637
98	322	1632
99	325	1628
100	328	1625
101	332	1621
102	335	1618
103	338	1613
104	341	1609
105	344	1605
106	347	1601
107	350	1597
108	353	1593
109	356	1589
110	358	1578
111	361	1575
112	364	1571
113	367	1567
114	370	1563
115	373	1560
116	375	1550
117	378	1546
118	381	1543
119	384	1539
120	387	1535
121	390	1531
122	393	1527
123	397	1524
124	400	1520
125	403	1517
126	406	1514
127	409	1510
128	412	1506
129	415	1503
130	418	1499
131	422	1496
132	425	1492
133	428	1489
134	431	1485
135	434	1482
136	437	1479
137	440	1475
138	443	1472
139	446	1468
140	449	1464
141	453	1461
142	456	1457
143	459	1455
144	462	1452
145	466	1449
146	469	1445
147	472	1442
148	475	1439
149	478	1436
150	481	1433
151	485	1430
152	488	1426
153	491	1423
154	494	1419
155	497	1416
156	500	1412
157	503	1409
158	507	1406
159	510	1403
160	513	1400
161	516	1396
162	519	1392
163	522	1389
164	525	1385
165	528	1382
166	531	1378
167	535	1375
168	538	1372
169	541	1368
170	544	1365
171	547	1361
172	550	1358
173	553	1355
174	556	1352
175	560	1349
